Did you respond to the sector survey on the National Lottery Heritage Fund website?:Response,Organisation Type:Response,What is the approximate number of paid employees (full time equivalent) at your business/organisation?:Response,What is the approximate number of volunteers working with your business/organisation?:Response,Area:Archaeology,Area:Archives,Area:Community heritage,Area:Conservation Architecture/Project Management,Area:Gardens and Landscapes,Area:Historic buildings (including industrial heritage sites),Area:Intangible (e.g. cultural traditions people’s memories dialects),Area:Maritime and transport heritage,Area:Places of worship,Area:Planning,Area:Public parks,Area:My organisation does not work in or represent any heritage areas,Area:Other,Geography:All English regions,Geography:East Midlands,Geography:West Midlands,Geography:East of England,Geography:London,Geography:South East of England,Geography:South West of England,Geography:North East of England,Geography:North West of England,Geography:Yorkshire and the Humber,Effects:Loss or postponement of work,Effects:Business-critical staff absence,Effects:Lack of available volunteers,Effects:Postponement/cancellation of planned income-generating or marketing events,Effects:Reduced opening/business hours,Effects:Supply chain problems,Effects:Increased overheads,Effects:Reduced visitor numbers,Effects:Have had to furlough staff,Effects:Have had to lay staff off,Effects:Additional costs e.g.  investment in IT/home working,Effects:Delayed payment by debtors,Measures expected:Coronavirus Job Retention Scheme,Measures expected:Deferring VAT and Self-Assessment payments,Measures expected:Self-employment Income Support Scheme,Measures expected:Statutory Sick Pay relief package for small and medium sized businesses (SMEs),Measures expected:12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,Measures expected:Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,Measures expected:Grant funding of £25000 for retail hospitality and leisure businesses with property with a rateable value between £15000 and £51000,Measures expected:Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,Measures expected:Lending facility from the Bank of England to help support liquidity among larger firms helping them bridge coronavirus disruption to their cash flows through loans,Measures expected:HMRC Time To Pay Scheme,Measures expected:Awaiting further clarification of the Government support,Continued operation if the current restrictions continue until September 2020 with measures:Response,Continued operation if the current restrictions continue until September 2020 without measures:Response,Level of risk:Response,Opportunities to work better:Response
No,Incorporated private sector organisation in the heritage sector,1-5,1-5,Archaeology,,,,,Historic buildings (including industrial heritage sites),,,,Planning,,,,,,,,,,,,,,,,,,,,,Reduced visitor numbers,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,4-6 months,4-6 months,Minimal risk – we fully expect to be able to continue to operate,Disagree
Yes,Community or voluntary group supporting a specific heritage-based project,0 (entirely voluntary),11-20,,Archives,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,Places of worship,Planning,,,,,,,,,,,,North West of England,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
Yes,Faith-based or church organisation,51-100,101-500,Archaeology,Archives,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,Places of worship,Planning,,,,,,,East of England,London,,,,,,Loss or postponement of work,,,,,,,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,,Coronavirus Job Retention Scheme,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Other (please specify),6-10,11-20,Archaeology,,Community heritage,,,Historic buildings (including industrial heritage sites),,,,,,,,,East Midlands,,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,,Don’t know,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Other (please specify),0 (entirely voluntary),1-5,,,Community heritage,,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,,Planning,Public parks,,,,,,,,,,North East of England,,,,,,,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Strongly disagree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,East Midlands,West Midlands,,,,South West of England,,,,Loss or postponement of work,,,,,,,,Have had to furlough staff,,,Delayed payment by debtors,,,,,,,,,,,Awaiting further clarification of the Government support,4-6 months,4-6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Other (please specify),1-5,1-5,,,,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,,,,,,,,,,,South East of England,,,,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,Increased overheads,Reduced visitor numbers,Have had to furlough staff,,,Delayed payment by debtors,,,,,,,,,,,Awaiting further clarification of the Government support,1-2 months,1-2 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Strongly disagree
No,Social Enterprise/Community Interest Company,1-5,1-5,,,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,Maritime and transport heritage,Places of worship,Planning,Public parks,,Other,All English regions,,,,,,,,,,,,,Postponement/cancellation of planned income-generating or marketing events,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,4-6 months,4-6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Other (please specify),501+,Don’t know,Archaeology,Archives,Community heritage,,Gardens and Landscapes,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,Places of worship,Planning,Public parks,,,,,,,,South East of England,,,,,,Business-critical staff absence,,Postponement/cancellation of planned income-generating or marketing events,,,,Reduced visitor numbers,,,Additional costs e.g.  investment in IT/home working,Delayed payment by debtors,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
No,Community or voluntary group supporting a specific heritage-based project,0 (entirely voluntary),6-10,,,Community heritage,,,Historic buildings (including industrial heritage sites),,,,Planning,,,,,,,East of England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 6 months,More than 6 months,Minimal risk – we fully expect to be able to continue to operate,Neither agree nor disagree
No,Other (please specify),0 (entirely voluntary),1-5,Archaeology,Archives,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),Maritime and transport heritage,Places of worship,Planning,Public parks,,Other,,,,,,,,,,,,,,Postponement/cancellation of planned income-generating or marketing events,,,,,,,Additional costs e.g.  investment in IT/home working,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Other (please specify),501+,Don’t know,,Archives,Community heritage,Conservation Architecture/Project Management,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,Places of worship,Planning,Public parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don’t know,Don’t know,Don’t know,Neither agree nor disagree
